CE_Event_Counter,Coalescence_Time,Eccentricity@DCO,Immediate_RLOF>CE,MT_Donor_Hist(1),MT_Donor_Hist(2),Mass(1),Mass(2),Merges_Hubble_Time,Metallicity@ZAMS(1),Optimistic_CE,Record_Type,Recycled_NS(1),Recycled_NS(2),SEED,SemiMajorAxis@DCO,Stellar_Type(1),Stellar_Type(2),Time,mixture_weight
0,385939963.6108964,0.5440929369464752,0,b'2               ',b'2               ',21.720099948644098,4.670052018260301,0,0.0063575185842238875,0,1,0.0,0.0,7471,1.8183911264248238,14,14,8.433504374978995,9.999999999999998
0,4743678183760392.0,4.965068306494546e-16,0,b'NA              ',b'NA              ',25.370181947360695,22.643109161249,0,0.0001465060203830305,0,1,0.0,0.0,7527,141.9083489836716,14,14,4.705314377272897,10.0
0,177588884480.1616,3.510833468576701e-16,0,b'2               ',b'NA              ',24.051126840291293,20.374960223627664,0,0.0007696818231858163,0,1,0.0,0.0,7826,10.462738559851122,14,14,5.803885386735033,10.0
0,102215504379409.3,0.45959147340482853,0,b'NA              ',b'NA              ',19.75877658531314,8.554632777191125,0,0.00018638510878467768,0,1,0.0,0.0,7876,43.18618113099654,14,14,9.578655446414814,10.0
0,486864.8858531295,0.18412880267927723,0,b'2               ',b'2               ',9.39966779799462,5.849992385512855,0,0.000878427581993451,0,1,0.0,0.0,8020,0.19438600306756232,14,14,11.724226820032005,10.0
0,502388465.11527497,1.5700924586837752e-16,0,b'2               ',b'2               ',17.746355969427533,13.160516525201947,0,0.021117405724988235,0,1,0.0,0.0,8054,1.8310199408708026,14,14,6.328835128749004,9.999999999999998
0,1.09147756462483e+19,3.1401849173675503e-16,0,b'NA              ',b'NA              ',20.2074677887911,18.630006859739417,0,0.0020494918455603315,0,1,0.0,0.0,8221,838.6322119620002,14,14,4.97143890310298,9.999999999999998
0,699859687098064.5,0.5908049518315596,0,b'2               ',b'NA              ',10.672176807387048,16.5816125303819,0,0.028617363188569687,0,1,0.0,0.0,8271,82.77451405495457,14,14,5.707426859846835,10.0
0,1.1713153115167293e+21,0.2554784742021015,0,b'NA              ',b'NA              ',36.382918663546384,7.665222014952593,0,0.0024287836172623596,0,1,0.0,0.0,8627,2741.441822142815,14,14,10.692446925740608,10.0
0,568512761.8696394,1.1102230246251565e-16,0,b'2               ',b'2               ',30.08437148412358,21.92700431001579,0,0.001975097007305428,0,1,0.0,0.0,8894,2.7884545126377924,14,14,5.760575208456997,10.0
0,74.24210405296317,1.1102230246251565e-16,0,b'1-2             ',b'2               ',17.139919670901723,28.1342662727914,1,0.001742240878763648,0,1,0.0,0.0,9281,0.04734348106678844,14,14,6.625207016358997,10.0
1,597112.2057399108,0.6494785287815983,0,b'2               ',b'3-8             ',4.9484621726599265,1.1756830095473172,0,0.019021330234675275,0,1,0.0,0.0,9934,0.14540808201313185,14,13,22.475689011233033,9.999999994609617
0,3.313759162524656e+19,2.482534153247273e-16,0,b'NA              ',b'NA              ',33.96151855131856,18.731193652760762,0,0.0002309952083334734,0,1,0.0,0.0,10232,1362.165496948906,14,14,5.131690235565044,10.0
0,63561554.730117075,1.2412670766236366e-16,0,b'2               ',b'2               ',14.24652174305847,16.907548405813927,0,0.0035562236981769805,0,1,0.0,0.0,10481,1.102677621121837,14,14,7.396449055505007,9.999999999999998
0,3.2199393197110313e+19,0.4762775149870529,0,b'NA              ',b'NA              ',18.935317097485505,8.428136234557627,0,0.009951469169738313,0,1,0.0,0.0,10639,1017.59825426797,14,14,8.954455253507858,10.0
0,2.604733059422556e+21,0.8812825181083735,0,b'NA              ',b'NA              ',16.253620978329952,12.12015372813122,0,0.0222284902314657,0,1,0.0,0.0,10959,9389.692292418413,14,14,6.099162454042035,10.0
0,1.8600482445433626e+18,1.2412670766236366e-16,0,b'NA              ',b'NA              ',15.237848761757908,13.107713365558128,0,0.010423241307883222,0,1,0.0,0.0,11156,425.0488373273517,14,14,5.195720185306952,10.0
0,10.227904394667641,1.5700924586837752e-16,0,b'1-2             ',b'2               ',18.641343241109645,34.311959529453475,1,0.000310171073391181,0,1,0.0,0.0,11398,0.032190259103472015,14,14,6.2533939683370035,10.0
0,9136213.287518192,1.1102230246251565e-16,0,b'2               ',b'2               ',20.472209623861676,20.85973134590295,0,0.00036291503761453324,0,1,0.0,0.0,11574,0.8408242496769348,14,14,6.980380557295012,10.0
0,2.4601553129910604e+21,0.202067495995065,0,b'NA              ',b'NA              ',11.1670155505542,10.150749299680225,0,0.0017854632819119338,0,1,0.0,0.0,11609,2148.822682175586,14,14,8.300741013408171,10.0
0,1.5346173011060486e+17,0.5301493346322582,0,b'NA              ',b'NA              ',21.166643091815345,12.902118850240232,0,0.023808329757587197,0,1,0.0,0.0,11780,344.2173550835083,14,14,5.845094141714061,9.999999999999998
0,4.3219887442915597e+20,3.510833468576701e-16,0,b'NA              ',b'NA              ',17.221396068456365,17.284565278421955,0,0.013681440268698018,0,1,0.0,0.0,11881,1925.9721728696254,14,14,4.360065535772009,10.0
1,9.546455357428211,0.0,0,b'NA              ',b'4               ',20.215513988596427,13.137196257422488,1,0.00044156841325653553,0,1,0.0,0.0,11885,0.02262632658042778,14,14,6.364045971867115,9.999999999999998
0,4.062031841760559e+20,0.516441269984259,0,b'NA              ',b'NA              ',15.12555368113629,8.143405037003259,0,0.0018890679480397105,0,1,0.0,0.0,11906,1807.915667208076,14,14,10.144253224658922,10.0
0,1.3588720277096582e+20,4.577566798522237e-16,0,b'NA              ',b'NA              ',17.037671031263564,13.102621673982163,0,0.0103386989611428,0,1,0.0,0.0,12144,1297.4704536668078,14,14,5.200725442587989,9.999999999999998
0,5.05895996963808e+18,0.6596396355008802,0,b'NA              ',b'NA              ',7.715317829544162,6.8793021867065836,0,0.0016798517150525714,0,1,0.0,0.0,13281,546.6234655661594,14,14,12.056516383178568,10.0
0,4.1381842070833234e+18,0.0015021064938142148,0,b'NA              ',b'NA              ',39.68454098248202,22.944010020030994,0,0.00015378603914173976,0,1,0.0,0.0,13455,924.7896009388163,14,14,4.6750491551228865,10.0
0,1.1670322074608265e+19,0.5731611079255986,0,b'NA              ',b'NA              ',15.21210567065888,10.107614592373018,0,0.0011924835112467828,0,1,0.0,0.0,13476,867.7580151379998,14,14,8.355835412699752,9.999999999999998
0,2.3409115780468675e+19,3.7238012298709097e-16,0,b'NA              ',b'NA              ',29.44371686757684,18.620899112537177,0,0.0013792843373778999,0,1,0.0,0.0,13519,1175.911952641748,14,14,5.014372499225018,10.0
0,308164993500123.75,0.3435374700920497,0,b'2               ',b'NA              ',41.465985438279716,43.74202253445444,0,0.00033604220782263843,0,1,0.0,0.0,13522,123.02958922851487,14,14,3.8524931605920116,10.0
0,970583706863298.4,2.5476231888929306e-16,0,b'NA              ',b'NA              ',16.49226302583264,14.879972395859015,0,0.0004405388263054992,0,1,0.0,0.0,13560,69.37277595933227,14,14,5.883043342741057,10.0
1,330559.13580344437,1.2412670766236366e-16,0,b'4               ',b'4               ',11.972441197357018,11.738393849874008,0,0.0014762714861849525,0,1,0.0,0.0,13670,0.24172452418457802,14,14,7.621430552011035,10.0
0,3.9257136919194957e+18,0.19335653565652344,0,b'NA              ',b'NA              ',10.888886754851189,8.154093818355436,0,0.0004936764228971376,0,1,0.0,0.0,13841,391.5675449795389,14,14,10.162445666069685,10.0
0,1.1110482298658734e+20,0.26973842402786224,0,b'NA              ',b'NA              ',20.48942765332827,2.563802085832526,0,0.00031983680419757414,0,1,0.0,0.0,14019,858.5190447738037,14,14,32.03049896830855,9.999999999999998
0,1.3695414230662322e+16,0.4298161314311383,0,b'NA              ',b'NA              ',22.015454546317187,9.270533916341703,0,0.0014964801397609518,0,1,0.0,0.0,14248,153.41707157880154,14,14,9.013628826299769,9.999999999999998
0,7151610905790782.0,0.2828220905759929,0,b'2               ',b'NA              ',4.175615790192019,5.967564986703243,0,0.0206671884353822,0,1,0.0,0.0,14513,52.33334964584072,14,14,11.859401175089895,9.999999999999998
0,2684071922429.8916,2.482534153247273e-16,0,b'2               ',b'2               ',14.560509856236159,21.904789165986877,0,0.018137980945254047,0,1,0.0,0.0,14679,17.636859705659493,14,14,5.248296379390989,10.0
0,732406154342124.8,0.49568433231357345,0,b'NA              ',b'NA              ',23.445644402954347,12.967318328043024,0,0.00010537632883106543,0,1,0.0,0.0,14894,90.61040457332373,14,14,6.685759159442758,10.0
0,5830867031242.539,5.551115123125783e-16,0,b'NA              ',b'NA              ',23.941699862954835,17.37036411235579,0,0.000647170699540826,0,1,0.0,0.0,14987,23.605725193591546,14,14,5.277201826607992,10.0
0,6.282687810590764e+16,2.2887833992611187e-16,0,b'NA              ',b'NA              ',18.029746686867707,17.996629389922013,0,0.0013342273366556336,0,1,0.0,0.0,15091,218.42914072953607,14,14,5.098456853162026,9.999999999999998
0,1.9244594018528276e+18,0.39361887133573714,0,b'NA              ',b'NA              ',27.30917695338093,9.447039659099381,0,0.00010244230607038761,0,1,0.0,0.0,15183,565.0719355816435,14,14,8.671865707627957,10.0
1,26.873238771431872,0.1145590702725685,0,b'2               ',b'4-8             ',3.093801685749977,3.070935893591519,1,0.0065513891745130216,0,1,0.0,0.0,15282,0.008454607909352858,14,14,14.32943738465214,10.0
1,385.5227073493306,2.2247786310271853e-16,0,b'4               ',b'4               ',12.13321352288026,12.598471112675472,1,0.00018391335259549372,0,1,0.0,0.0,15377,0.046102364516439544,14,14,8.591835047553081,10.0
0,2.6049045887616195e+18,0.3774845978173308,0,b'NA              ',b'NA              ',9.306135580862794,7.882476302102992,0,0.00022083020070323697,0,1,0.0,0.0,15444,363.3758524891354,14,14,10.408008451605454,9.999999999999998
0,1289491621258036.0,3.510833468576701e-16,0,b'NA              ',b'NA              ',18.6314107273121,18.257820038341215,0,0.0001613183050011763,0,1,0.0,0.0,16447,84.15444489702148,14,14,5.234934260584023,10.0
0,2898051213030867.5,2.220446049250313e-16,0,b'NA              ',b'NA              ',32.13399151767148,18.65511511388065,0,0.004465293699265146,0,1,0.0,0.0,16733,128.59783958315765,14,14,4.579924243627999,10.0
0,1995331618862562.5,0.6449659494224969,0,b'2               ',b'NA              ',8.969864862576996,16.49019749197412,0,0.026588653506141903,0,1,0.0,0.0,16950,111.12245307013968,14,14,6.210623087580819,10.0
0,4203886.094129257,2.7755575615628914e-17,0,b'2               ',b'2               ',12.524268794178397,9.673826678972526,0,0.003544098099069802,0,1,0.0,0.0,16987,0.43266642726927973,14,14,10.002504940844991,10.0
0,4.690021756584557e+20,0.523070491039942,0,b'NA              ',b'NA              ',9.905704171313898,8.881251743978448,0,0.00011038116883246371,0,1,0.0,0.0,17115,1646.6417439446632,14,14,9.18725576435191,9.999999999999998
0,7.45659758261918e+19,1.1123893155135927e-16,0,b'NA              ',b'NA              ',16.826749108456024,15.507002265006923,0,0.00527204124777169,0,1,0.0,0.0,17224,1181.6941367400084,14,14,5.106198695018977,9.999999999999998
0,1.0862745658869902e+16,0.8646259173095026,0,b'NA              ',b'NA              ',13.521707246663773,9.582133365208447,0,0.0003406297376981456,0,1,0.0,0.0,17320,327.74179274038806,14,14,8.67918747752065,9.999999999999998
0,1.57788458795805e+20,2.220446049250313e-16,0,b'NA              ',b'NA              ',17.39996525933315,16.93591738318935,0,0.004218180191397247,0,1,0.0,0.0,18620,1491.485386861942,14,14,5.0339515549820435,10.0
0,233034128370.1687,1.1102230246251565e-16,0,b'2               ',b'2               ',24.477534395336424,27.225022485532303,0,0.007932419346217742,0,1,0.0,0.0,18644,12.560031537585042,14,14,4.719475894246995,10.0
0,1.0162801516434434e+19,2.2898349882893854e-16,0,b'NA              ',b'NA              ',34.04301809616898,14.826784000517305,0,0.0034250892605765483,0,1,0.0,0.0,18657,938.8714293183341,14,14,5.61938033370495,10.0
0,751069324727125.5,0.1257114782145374,0,b'NA              ',b'NA              ',12.029170854438373,11.041556914041358,0,0.0003110222972561135,0,1,0.0,0.0,18707,52.40576415206099,14,14,7.662156953324999,9.999999999999998
0,2.667783581077063e+21,0.39494952347966245,0,b'NA              ',b'NA              ',24.700333967527627,2.75940930872702,0,0.0056634352553898305,0,1,0.0,0.0,18782,2300.680559464731,14,14,20.776182641454408,10.0
0,628598042986039.6,0.29631547634288435,0,b'NA              ',b'NA              ',31.16398056985612,7.4596624287035125,0,0.000275493841369928,0,1,0.0,0.0,18889,70.08832521733287,14,14,11.04519917150029,10.0
0,1.1217484146785833e+18,1.5700924586837752e-16,0,b'NA              ',b'NA              ',15.655407889691304,15.638677465066834,0,0.00013585515373561397,0,1,0.0,0.0,18908,403.99816966352205,14,14,5.787841285894102,9.999999999999998
0,1.7641796506901374e+16,0.662776645051592,0,b'4               ',b'NA              ',11.505221487287539,9.956151432699093,0,0.0018313684224815524,0,1,0.0,0.0,19715,178.4329226922715,14,14,8.6264577586211,10.0
0,2405857684461021.0,1.5700924586837752e-16,0,b'NA              ',b'NA              ',27.978778086705134,15.00385478949925,0,0.00015384931012491269,0,1,0.0,0.0,19871,107.70168531939608,14,14,5.967129146067141,9.999999999999998
0,2.427151672078492e+16,0.0062804496719954805,0,b'NA              ',b'NA              ',35.445395731282446,34.72655549642706,0,0.0009828675572364672,0,1,0.0,0.0,19943,283.9287393401739,14,14,3.9741218567999947,10.0
1,304.65303568527446,0.24242471288971415,0,b'2               ',b'4               ',11.69207471843309,3.921234519402945,1,0.0016093447074858474,0,1,0.0,0.0,20041,0.030233864682034,14,14,11.775394406444134,9.999999999999998
1,52.357815511542796,0.1462350132775575,0,b'4               ',b'4-8             ',2.7358097906915066,1.598309503257121,1,0.0001873591759237402,0,1,0.0,0.0,20072,0.007589193810726158,14,13,23.69271998673201,9.999999086705714
0,2.959071517934306e+18,0.5520685849324846,0,b'NA              ',b'NA              ',12.804848307308372,8.303325466375997,0,0.0036115090005980227,0,1,0.0,0.0,20109,520.5321734988323,14,14,9.748920242942546,10.0
0,1219577752.3828773,0.0,0,b'2               ',b'2               ',31.32688082270291,30.46342500220227,0,0.0005441930899590868,0,1,0.0,0.0,20145,3.8639392865643503,14,14,5.316613358927002,10.0
0,2158163240526973.5,0.3554751928348528,0,b'NA              ',b'NA              ',26.03091998192297,8.150677129821775,0,0.0053996402561710954,0,1,0.0,0.0,20215,93.92864796536342,14,14,9.698709481593724,10.0
0,1724875420941570.5,0.09281593764938867,0,b'NA              ',b'NA              ',8.575016084779383,7.1684688476780085,0,0.0006917467589985904,0,1,0.0,0.0,20480,48.05534762889729,14,14,11.620255184430551,10.0
0,7.267097889793948e+21,0.9856919270244063,0,b'NA              ',b'NA              ',11.691788000765802,10.876327650771769,0,0.0058367595944201905,0,1,0.0,0.0,20528,57512.05504352741,14,14,7.532309888628953,10.0
0,2.9135931858342688e+20,0.34244308138969926,0,b'NA              ',b'NA              ',35.630609880258206,10.978837621940327,0,0.0008178389069263388,0,1,0.0,0.0,20784,2246.6905364252307,14,14,7.779226743110927,10.0
0,2.6809880222020844e+18,0.009513038900034432,0,b'NA              ',b'NA              ',36.4761606956472,35.28283578139417,0,0.0031062281731350943,0,1,0.0,0.0,20976,936.0395801827193,14,14,3.651855217347014,9.999999999999998
1,271938579.1025294,0.031468276382324724,0,b'5               ',b'1-2             ',16.322074526017236,2.5381724876661034,0,0.02083954681086345,0,1,0.0,0.0,21217,0.9016313948517765,14,14,13.080517821327874,10.0
0,1.9913307361571318e+21,2.220446049250313e-16,0,b'NA              ',b'NA              ',19.00672142940159,17.126533481316603,0,0.003930267805904454,0,1,0.0,0.0,21294,2918.9768661267717,14,14,5.051445440405987,10.0
0,1.2499728104578398e+21,0.10225951219521492,0,b'NA              ',b'NA              ',19.87014305894373,16.18389173192285,0,0.012415190166562224,0,1,0.0,0.0,21578,2612.781718289023,14,14,5.484007246416076,10.0
0,6865041887375992.0,0.48769071876550407,0,b'NA              ',b'NA              ',22.5011803945932,10.98884775746293,0,0.02011672474781299,0,1,0.0,0.0,22072,146.113823602617,14,14,6.679414392837068,9.999999999999998
0,68157.56932904142,0.3930859564708751,0,b'2               ',b'2-8             ',3.178311145385849,1.2021091766836982,0,0.0004545920527387016,0,1,0.0,0.0,22109,0.050222331242692035,14,13,29.636903007910018,9.999999999911827
0,25710439673872.777,5.551115123125783e-16,0,b'NA              ',b'NA              ',24.045045809465186,18.724410071965615,0,0.000586988537728456,0,1,0.0,0.0,22161,35.19598375068088,14,14,5.068276969630017,10.0
1,203568.14658606797,0.8940707056636187,0,b'4               ',b'5               ',3.186920146458383,2.525830494360757,0,0.0001189470477850712,0,1,0.0,0.0,22192,0.29068597953332254,14,14,21.07131879674445,9.999999999999973
0,2740447096515890.5,0.6626812743393181,0,b'5               ',b'NA              ',11.908761243119795,9.352764428083047,0,0.011001731472939947,0,1,0.0,0.0,22423,110.95553077905451,14,14,8.50295895373879,10.0
1,304609370.87185854,0.17055601890703603,0,b'4               ',b'2               ',10.865611827609953,1.2118135975517825,0,0.0004427145863661199,0,1,0.0,0.0,22649,0.6387691242935688,14,13,26.213458156021144,9.999999999999998
0,132203182.27925546,0.008681719943596258,0,b'2               ',b'2               ',25.911299373397213,35.949403459846586,0,0.00042829727999004104,0,1,0.0,0.0,22718,2.2045092029336835,14,14,5.61550233191399,10.0
1,9.736619885549368,1.2412670766236366e-16,0,b'5               ',b'8               ',1.4893826389716234,3.308688956694355,1,0.0005059968398078092,0,1,1.0,0.0,22820,0.005168424248813738,13,14,18.262060990994446,9.999993703308784
0,360.2604583469735,1.5700924586837752e-16,0,b'1-2             ',b'2               ',10.749928559284783,13.737981292371815,1,0.010130494439810515,0,1,0.0,0.0,23127,0.04482786616191131,14,14,7.8811594511699985,10.0
0,46048797183814.18,0.02842580501652871,0,b'2               ',b'NA              ',42.01369518985522,41.47741022396361,0,0.0009301906496152068,0,1,0.0,0.0,23145,67.55325765582178,14,14,3.980529795431001,10.0
1,5269604.485120801,0.37734400400287915,0,b'4               ',b'4               ',6.631903177957803,4.161903338970082,0,0.0027907994940328195,0,1,0.0,0.0,23391,0.30210894099652724,14,14,13.800143547435416,10.0
0,2502388990.1159635,0.0,0,b'2               ',b'2               ',20.277939002181462,21.629933521769015,0,0.0019523331704894577,0,1,0.0,0.0,23447,3.455462793936076,14,14,6.100609995087997,10.0
0,4.14454650613272e+16,0.6825156399312468,0,b'NA              ',b'NA              ',9.350734153715935,8.251397026800017,0,0.0007422031090295059,0,1,0.0,0.0,23536,198.63154506280523,14,14,10.075316511412721,10.0
0,1.0196654431115176e+20,0.3479821003347371,0,b'NA              ',b'NA              ',38.60125583794589,13.098197106884797,0,0.00281773627091436,0,1,0.0,0.0,23742,1898.0671057854418,14,14,6.7267200771089435,9.999999999999998
0,218000916501597.5,0.43051764443873575,0,b'NA              ',b'NA              ',15.487082936837256,2.9999662301450094,0,0.000231953139543358,0,1,0.0,0.0,24203,33.02315940186911,14,14,21.921609998035436,9.999999999999998
0,6.462211841207471e+17,1.2412670766236366e-16,0,b'NA              ',b'NA              ',28.505670475594915,21.02308234318428,0,0.0014770936325692954,0,1,0.0,0.0,24722,493.7878753151398,14,14,4.73307390720201,10.0
0,9818858072943324.0,0.6689840906608985,0,b'NA              ',b'NA              ',14.66905217306092,13.29262618893558,0,0.012210221450835333,0,1,0.0,0.0,24922,190.5167486099796,14,14,6.195824622965924,10.0
0,230188087535974.2,0.5876102296285444,0,b'NA              ',b'NA              ',16.387025455156508,10.872019624760076,0,0.005902853209647059,0,1,0.0,0.0,25389,62.47911678421035,14,14,7.5305262844429155,10.0
0,664856996180.5172,0.0,0,b'2               ',b'2               ',42.054603536034605,27.844326619577984,0,0.0018344634975271214,0,1,0.0,0.0,26243,20.265677248287236,14,14,4.366008036732994,10.0
0,4.602614071257998e+20,1.1102230246251565e-16,0,b'NA              ',b'NA              ',20.06934030078788,19.3881251473733,0,0.010609851976080616,0,1,0.0,0.0,26287,2163.3387400264414,14,14,4.313295542789007,10.0
